a,b,k,d,ad,overlap_days,a_name,b_name
sse/880885,sse/880774,112,0.44018841868049197,0.44018841868049197,1723,sse/880885 近端次新,sse/880774 昨日首板
sse/880406,sse/880781,117,0.44015849527021766,0.44015849527021766,1678,sse/880406 商业连锁,sse/880781 QFII新进
sse/880494,sse/880784,96,-0.43814750492541055,0.43814750492541055,1651,sse/880494 互联网,sse/880784 昨日较弱
sse/880773,sse/880789,95,0.43809725615137607,0.43809725615137607,619,sse/880773 最近闪跌,sse/880789 昨成交20
sse/880837,sse/880756,110,0.43782242124030374,0.43782242124030374,1146,sse/880837 活跃股,sse/880756 机构吸筹
sse/880493,sse/880867,103,-0.4377792635332711,0.4377792635332711,2389,sse/880493 软件服务,sse/880867 昨高换手
sse/880872,sse/880825,112,-0.4375215330245163,0.4375215330245163,940,sse/880872 近期复牌,sse/880825 预计转亏
sse/880885,sse/880756,110,0.4375085533665132,0.4375085533665132,1146,sse/880885 近端次新,sse/880756 机构吸筹
sse/880860,sse/880867,106,-0.43162335732578383,0.43162335732578383,2389,sse/880860 扣非亏损,sse/880867 昨高换手
sse/880456,sse/880082,103,-0.43160019373056785,0.43160019373056785,1058,sse/880456 环境保护,sse/880082 板块趋势
sse/880390,sse/880640,114,0.43105940659677117,0.43105940659677117,919,sse/880390 汽车类,sse/880640 历史新高
sse/880843,sse/880676,94,-0.43102218934735054,0.43102218934735054,536,sse/880843 业绩预降,sse/880676 活跃ETF
sse/880752,sse/880603,78,0.4306475572787552,0.4306475572787552,1083,sse/880752 昨曾跌停,sse/880603 新进指标股
sse/880437,sse/880772,89,0.43049901693876624,0.43049901693876624,1038,sse/880437 通用机械,sse/880772 最近闪拉
sse/880836,sse/880752,78,0.430169008617541,0.430169008617541,859,sse/880836 配股股,sse/880752 昨曾跌停
sse/880448,sse/880752,109,0.4297231193454464,0.4297231193454464,1171,sse/880448 电器仪表,sse/880752 昨曾跌停
sse/880430,sse/880756,80,0.42926511435232484,0.42926511435232484,1146,sse/880430 航空,sse/880756 机构吸筹
sse/880453,sse/880784,104,-0.4287161479868943,0.4287161479868943,1651,sse/880453 公共交通,sse/880784 昨日较弱
sse/880576,sse/880778,98,0.4278067391172901,0.4278067391172901,1486,sse/880576 重组股,sse/880778 次新预增
sse/880867,sse/880782,104,0.4269277575676021,0.4269277575676021,1678,sse/880867 昨高换手,sse/880782 保险新进
sse/880810,sse/880751,58,-0.42690591799056554,0.42690591799056554,718,sse/880810 陆股通增,sse/880751 昨日跌停
sse/880406,sse/880735,119,0.42645469175951267,0.42645469175951267,1206,sse/880406 商业连锁,sse/880735 专精特新
sse/880867,sse/880735,103,0.4231389780784772,0.4231389780784772,1206,sse/880867 昨高换手,sse/880735 专精特新
sse/880778,sse/880793,97,-0.42296133166078637,0.42296133166078637,1393,sse/880778 次新预增,sse/880793 基金减仓
