a,b,a_name,b_name,overlap_days,r0_raw_close,k_raw20,d_raw20,d_raw60max,r0_ret,k_ret_sig,d_ret_sig,k_ret60,d_ret60,h1_k,h1_d,h2_k,h2_d,half_stable,half_sign_consistent,p_bs,bs_pass,verdict
sse/880421,sse/880677,sse/880421 广告包装,sse/880677 活跃可转债,731,0.09628465847740744,20,0.2348820653865184,0.6653993959689476,0.6469096466670401,16,-0.08176720425512433,49,0.11001379535924716,9,0.12093780061779749,16,-0.11283749883239187,False,False,,False,rejected:sign_flips_between_halves
sse/880622,sse/880677,sse/880622 破增发价,sse/880677 活跃可转债,731,-0.08694046830627868,20,0.19388321236793582,0.634077495910401,0.6263526100502083,16,-0.08176295694678938,60,0.08685138671279362,16,-0.10385888844039204,12,-0.14721148103701057,True,True,,False,rejected:half-stable
sse/880874,sse/880082,sse/880874 昨曾涨停,sse/880082 板块趋势,1058,-0.01798923287723531,9,0.04078229296764675,0.4648106401208377,0.06302617191912811,20,0.08170071346896758,60,-0.10690746910791563,6,0.18257250588494317,20,0.11396411713827435,False,True,,False,rejected:not_stable_not_significant
sse/880802,sse/880677,sse/880802 QFII重仓,sse/880677 活跃可转债,731,0.05008182496806101,20,0.18421040063895114,0.5550392757054511,0.7249109455233074,16,-0.08166408575680677,34,0.09580978073538643,1,0.13851322239112,1,-0.09559684646085986,False,False,,False,rejected:sign_flips_between_halves
sse/880861,sse/880677,sse/880861 连续亏损,sse/880677 活跃可转债,731,-0.054642565588508184,20,0.2201144565837322,0.6189402029435122,0.7851516075153561,1,-0.0816360759793172,1,-0.0816360759793172,10,0.11761123416651215,1,-0.13816837472849083,False,False,,False,rejected:sign_flips_between_halves
sse/880773,sse/880782,sse/880773 最近闪跌,sse/880782 保险新进,939,-0.15870951851165183,20,-0.21357140207625308,0.32870067031750955,0.07389184954973002,1,-0.08158088746828676,45,0.12858998488893048,1,-0.10142098722509886,6,-0.15107488632031846,True,True,,False,rejected:half-stable
sse/880456,sse/880677,sse/880456 环境保护,sse/880677 活跃可转债,731,0.07203748762962486,20,0.2183127126737215,0.6959927123909314,0.6802281738763363,16,-0.08157725889751363,42,0.0930213391001946,10,0.11736327473517472,5,-0.12126404955075304,False,False,,False,rejected:sign_flips_between_halves
sse/880877,sse/880677,sse/880877 户数减少,sse/880677 活跃可转债,731,0.13481619099742195,20,0.17291889876301667,0.5701446988895732,0.7275835134107205,14,0.08156273574068787,49,0.09632047306960337,5,0.17067673126792612,1,-0.14921198825682322,False,False,,False,rejected:sign_flips_between_halves
sse/880472,sse/880603,sse/880472 证券,sse/880603 新进指标股,1086,0.3177737383339978,20,0.1090226703358578,0.43759695202827226,0.5128106707101691,20,-0.08154569848251018,39,0.12103494157431091,20,-0.09382729137988438,8,-0.10771816735358244,False,True,,False,rejected:not_stable_not_significant
sse/880803,sse/880677,sse/880803 券商重仓,sse/880677 活跃可转债,731,-0.20034871727961306,20,0.1960953930135255,0.5399581828030959,0.6633071322534113,16,-0.08117057598044461,49,0.08350971380939116,1,0.1309037831273838,1,-0.14181303359247488,False,False,,False,rejected:sign_flips_between_halves
sse/880821,sse/880677,sse/880821 大盘股,sse/880677 活跃可转债,731,-0.24719781969052101,20,0.19745064728207834,0.5510173901236302,0.55850028695928,9,0.08105419723976975,60,0.08278799414838503,2,0.13932625963560935,14,-0.08284698101854622,False,False,,False,rejected:sign_flips_between_halves
sse/880778,sse/880082,sse/880778 次新预增,sse/880082 板块趋势,882,0.3788691872222023,20,-0.2855644780456978,0.5213565975480061,0.2542319647197451,19,-0.08103336641397452,28,-0.10035850279373593,9,0.14706939178388032,18,-0.1285643021356496,False,False,,False,rejected:sign_flips_between_halves
sse/880808,sse/880677,sse/880808 股东减持,sse/880677 活跃可转债,731,-0.004545631675378596,20,0.1716171498213213,0.5637956264214953,0.7826610660492,16,-0.08102749351662598,42,0.08716209039744931,5,0.09410354341567183,16,-0.1263125563477652,False,False,,False,rejected:sign_flips_between_halves
sse/880811,sse/880772,sse/880811 陆股通减,sse/880772 最近闪拉,1038,-0.429733045749599,20,0.15357096060153486,0.38588720392867193,0.06622839205278926,16,0.08095972656471563,45,-0.125274507347055,2,0.10473936093970526,16,0.12440066733742156,False,True,,False,rejected:not_stable_not_significant
sse/880849,sse/880772,sse/880849 回购计划,sse/880772 最近闪拉,1038,-0.6456685501058973,20,0.19499822493200092,0.40801898321779184,0.09346509542834107,16,0.08090660899872454,44,0.1601358926882972,1,0.13988537440435825,16,0.12714675889177737,False,True,,False,rejected:not_stable_not_significant
sse/880880,sse/880619,sse/880880 近期强势,sse/880619 业绩预增,1044,0.13017452252665515,20,-0.16641998849730916,0.5173895393526564,0.35469684885059133,1,-0.08084395117755858,39,0.11547688832053446,9,0.10644355992816878,15,0.10915894082760692,False,True,,False,rejected:not_stable_not_significant
szse/399481,sse/880790,szse/399481 企债指数,sse/880790 高负债率,1648,-0.21228995997526148,20,0.14268234543634817,0.42147350172613013,0.01452353610964407,12,0.0808214631712779,47,0.09797050893644646,12,0.1166809872477223,16,-0.09860607875645261,False,False,,False,rejected:sign_flips_between_halves
sse/880474,sse/880735,sse/880474 多元金融,sse/880735 专精特新,1206,0.5039742059264478,20,0.16967748033990915,0.44886059581505294,0.5611255582282851,11,0.0807091482883955,11,0.0807091482883955,16,-0.1485123092031276,11,0.12637262591728904,False,False,,False,rejected:sign_flips_between_halves
sse/880492,sse/880772,sse/880492 元器件,sse/880772 最近闪拉,1038,-0.6011438808534921,20,0.22042023744350492,0.40948782616961055,0.04204031994857483,19,0.08046767366590163,43,0.08248627891091094,1,0.1315569102582732,19,0.131949386896402,False,True,,False,rejected:not_stable_not_significant
