a,b,k_signed,d_signed,k_absmax,d_absmax,overlap_days,a_name,b_name
sse/000001,sse/880811,60,0.1528318363489516,60,0.1528318363489516,1540,sse/000001 上证综指,sse/880811 陆股通减
sse/000001,sse/880895,1,-0.003405448070609607,60,0.12925593712261318,1989,sse/000001 上证综指,sse/880895 持续增长
sse/000001,sse/880896,25,0.019748642996981647,25,0.019748642996981647,1989,sse/000001 上证综指,sse/880896 风险提示
sse/000001,sse/880897,60,0.058085283705706564,60,0.058085283705706564,1988,sse/000001 上证综指,sse/880897 即将解禁
sse/000001,sse/880812,1,-0.004706951161495332,60,0.18790679596425558,1974,sse/000001 上证综指,sse/880812 昨日连板
sse/000001,sse/880813,1,-0.00020815800748019697,60,0.08711247760136531,1967,sse/000001 上证综指,sse/880813 重组预案
sse/000001,sse/880559,45,0.016332519364169795,45,0.016332519364169795,1878,sse/000001 上证综指,sse/880559 要约收购
sse/000001,sse/880702,60,0.09336189117520288,60,0.09336189117520288,1878,sse/000001 上证综指,sse/880702 壳资源
sse/000001,sse/880814,57,0.02366812271010732,57,0.02366812271010732,1835,sse/000001 上证综指,sse/880814 拟增持
sse/000001,sse/880815,60,0.1311850573731721,60,0.1311850573731721,1834,sse/000001 上证综指,sse/880815 拟减持
sse/000001,sse/880817,60,0.17802076289357582,60,0.17802076289357582,1820,sse/000001 上证综指,sse/880817 商誉减值
sse/000001,sse/880816,60,0.14931620437253001,60,0.14931620437253001,1819,sse/000001 上证综指,sse/880816 密集调研
sse/000001,sse/880708,6,0.0019272515340834628,60,0.04097391477428569,1762,sse/000001 上证综指,sse/880708 台资背景
sse/000001,sse/880771,60,0.09537572151779239,60,0.09537572151779239,1747,sse/000001 上证综指,sse/880771 MSCI中盘
sse/000001,sse/880772,60,0.45199848547935667,60,0.45199848547935667,1038,sse/000001 上证综指,sse/880772 最近闪拉
sse/000001,sse/880773,38,0.23102334352693138,38,0.23102334352693138,983,sse/000001 上证综指,sse/880773 最近闪跌
sse/000001,sse/880774,1,-0.005187834832027199,60,0.23368341299985465,1723,sse/000001 上证综指,sse/880774 昨日首板
