x,x_name,overlap_days,dir,k*,d(k*),r0_ret,k20,d(k20),half_stable,raw_d@k*,raw_k*
sse/880885,sse/880885 近端次新,2156,mic_leads_X,16,0.06744516109360554,0.1832828305236711,16,0.06744516109360554,False,0.01665854334120337,60
sse/880781,sse/880781 QFII新进,1677,X_leads_mic,22,-0.06698725504073955,0.6516068051014035,2,-0.04672391920339617,True,0.038293631797441274,60
sse/880769,sse/880769 股权集中,1434,X_leads_mic,2,-0.06624574218400647,0.7889187767114014,2,-0.06624574218400647,True,0.0008561429853572999,60
sse/880817,sse/880817 商誉减值,1819,X_leads_mic,2,-0.0656496942154055,0.7561023759049716,2,-0.0656496942154055,True,-0.0006736545728872612,60
sse/880849,sse/880849 回购计划,3091,X_leads_mic,1,-0.06510680314969237,0.7531890642826726,1,-0.06510680314969237,True,0.0003423816554516401,60
sse/880870,sse/880870 两年新股,2365,X_leads_mic,2,-0.06501788660059854,0.7615352515869571,2,-0.06501788660059854,True,0.0008554142573673484,60
sse/880782,sse/880782 保险新进,1677,mic_leads_X,30,0.06412113500297983,0.5073332404847203,12,-0.06136733723299753,True,0.011560577780752118,60
sse/880787,sse/880787 高商誉,1647,X_leads_mic,15,-0.0626544362002508,0.7210865890304661,15,-0.0626544362002508,True,0.012897711961380672,60
sse/880865,sse/880865 近期新高,2388,mic_leads_X,4,0.06238929778369552,0.4081444511032788,4,0.06238929778369552,True,0.007051088753832313,60
sse/880829,sse/880829 低市净率,4749,X_leads_mic,1,-0.06163980399263433,0.6580012609673435,1,-0.06163980399263433,False,-0.0004885292681082731,60
sse/880876,sse/880876 户数增加,2288,X_leads_mic,2,-0.061551452580579716,0.6977116886649719,2,-0.061551452580579716,True,0.00046204976430130884,60
sse/880848,sse/880848 被举牌,3091,X_leads_mic,6,-0.06105785837380259,0.676713757559865,6,-0.06105785837380259,True,-0.002541097056731667,34
sse/880837,sse/880837 活跃股,4749,mic_leads_X,16,0.060970256868435414,0.25416388512413973,16,0.060970256868435414,True,0.01110973290632522,60
sse/880790,sse/880790 高负债率,1647,X_leads_mic,2,-0.060063737800310546,0.7351481974095514,2,-0.060063737800310546,True,-0.004705767715311462,50
sse/880877,sse/880877 户数减少,2288,X_leads_mic,2,-0.059685875056403014,0.6197092833300888,2,-0.059685875056403014,True,0.0031907740197441026,60
sse/000001,sse/000001 上证综指,4749,X_leads_mic,1,-0.059544883383856995,0.803499178528359,1,-0.059544883383856995,True,0.00017407475183761623,60
sse/880858,sse/880858 国开持股,2574,X_leads_mic,2,-0.05948377256298739,0.5598167308460434,2,-0.05948377256298739,True,-0.0006829512982852171,60
sse/880532,sse/880532 整体上市,4749,X_leads_mic,1,-0.05904318421108685,0.7544728810419897,1,-0.05904318421108685,True,-0.00044265109509999956,42
sse/880476,sse/880476 建筑,4749,X_leads_mic,2,-0.05893604836781456,0.7606919503142735,2,-0.05893604836781456,True,-0.0012229054279080387,26
sse/880893,sse/880893 送转超跌,1996,X_leads_mic,48,-0.05881272029515908,0.7666788386184241,15,-0.048502769089136595,True,0.005593567178585279,60
sse/880780,sse/880780 融资增加,1681,mic_leads_X,31,0.05857575504418322,0.5793864542187638,15,-0.058183238215630206,True,0.02541479661052548,60
sse/880400,sse/880400 医药,4749,X_leads_mic,1,-0.05822622917519383,0.7871471434793842,1,-0.05822622917519383,True,-0.0007239192757297896,60
sse/880859,sse/880859 员工持股,2531,X_leads_mic,1,-0.058168481419866885,0.6353508272909059,1,-0.058168481419866885,True,0.001043439215066,60
sse/880447,sse/880447 工程机械,4392,X_leads_mic,3,-0.057554796594660965,0.7343906023988696,3,-0.057554796594660965,True,-0.0006573739372520704,60
sse/880803,sse/880803 券商重仓,4749,X_leads_mic,1,-0.05754056509972033,0.799964564989179,1,-0.05754056509972033,True,3.610032129630625e-05,60
sse/880538,sse/880538 参股金融,4749,X_leads_mic,1,-0.05740959185207653,0.8357070092236372,1,-0.05740959185207653,True,-4.8776945291595375e-05,60
sse/880812,sse/880812 昨日连板,1972,mic_leads_X,57,0.05629409508338546,0.00012415477958669592,7,0.0518615503697667,True,-0.03309138420754765,60
sse/880845,sse/880845 高股息股,3311,mic_leads_X,16,0.05597761870710384,0.5402278056887944,16,0.05597761870710384,True,-0.0027038654437098186,46
sse/880344,sse/880344 建材,4749,X_leads_mic,2,-0.05588807097871868,0.7957144991334696,2,-0.05588807097871868,True,0.002089559694095411,60
sse/880843,sse/880843 业绩预降,3044,X_leads_mic,14,-0.05505984528047973,0.7425451649412622,14,-0.05505984528047973,True,0.021342377365837772,60
sse/880947,sse/880947 债转股AMC,2375,X_leads_mic,11,-0.05497062707900013,0.7906083763951118,11,-0.05497062707900013,True,0.002930218784995553,60
sse/880390,sse/880390 汽车类,4749,X_leads_mic,1,-0.054358253013999346,0.8166015992550686,1,-0.054358253013999346,True,-0.0009875370869348865,43
sse/880372,sse/880372 食品饮料,4749,X_leads_mic,1,-0.05405419377243552,0.7538190983226261,1,-0.05405419377243552,True,-0.0008223895694046135,60
sse/880573,sse/880573 摘帽,3349,mic_leads_X,1,0.05339773907376189,0.7925396029903382,1,0.05339773907376189,False,5.8239699514933685e-05,60
sse/880860,sse/880860 扣非亏损,2531,X_leads_mic,2,-0.05299633435858458,0.8361591094848101,2,-0.05299633435858458,True,0.0012216110382760048,60
sse/880398,sse/880398 医疗保健,4749,X_leads_mic,1,-0.05200602341875919,0.7377991685291323,1,-0.05200602341875919,True,-0.0010869834865047667,60
sse/880813,sse/880813 重组预案,1966,mic_leads_X,45,0.05176773654830368,0.7869818989832291,2,-0.047174647756935306,True,0.006749114735005279,39
sse/880871,sse/880871 股权分散,2365,X_leads_mic,2,-0.05112268026657485,0.8637430649068775,2,-0.05112268026657485,True,0.0004805222763092365,60
sse/880431,sse/880431 船舶,4749,mic_leads_X,10,0.050711090683039126,0.6407520141490152,10,0.050711090683039126,True,0.003409035438541555,60
sse/880808,sse/880808 股东减持,3313,X_leads_mic,1,-0.05055332514290275,0.7337466156835566,1,-0.05055332514290275,True,0.00043516914099128723,60
sse/880850,sse/880850 定增预案,3091,X_leads_mic,2,-0.049996269642815526,0.778761270282103,2,-0.049996269642815526,True,0.0025268917634366783,60
sse/880494,sse/880494 互联网,4749,X_leads_mic,1,-0.04879093382613527,0.7586113542322945,1,-0.04879093382613527,True,-0.0005005195757698255,60
sse/880423,sse/880423 酒店餐饮,4749,mic_leads_X,57,0.04877448365890147,0.7267085145079183,9,0.03816154571940443,True,-0.04449362092449881,60
sse/880448,sse/880448 电器仪表,4749,X_leads_mic,1,-0.04836712794260235,0.8121616509254878,1,-0.04836712794260235,True,-0.00018128291256835904,60
sse/880891,sse/880891 破发行价,2037,X_leads_mic,1,-0.04806252759398873,0.856758893772707,1,-0.04806252759398873,True,-0.0002883935985522612,60
sse/880851,sse/880851 已高送转,2790,X_leads_mic,3,-0.0465916914675486,0.7132338876619467,3,-0.0465916914675486,True,-0.0032038583846635826,48
sse/880879,sse/880879 低价股,2274,mic_leads_X,12,0.04652543101731126,0.8744856077035603,12,0.04652543101731126,True,-0.00720484218164652,43
sse/880452,sse/880452 电信运营,4749,X_leads_mic,1,-0.04642107418382286,0.6227583584761948,1,-0.04642107418382286,True,-0.0002867995132978529,26
sse/880310,sse/880310 石油,4749,mic_leads_X,20,0.046294057521697976,0.482087254669918,20,0.046294057521697976,True,0.013913339386628976,60
sse/880432,sse/880432 运输设备,4749,X_leads_mic,6,-0.046069236525981695,0.6904849102161873,6,-0.046069236525981695,True,-0.0051211177527483165,34
sse/880896,sse/880896 风险提示,1988,mic_leads_X,1,0.045192892443098306,0.7819779444276442,1,0.045192892443098306,True,-8.956558227535272e-05,60
